STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
ABIA,2699959019.01 ,2277642562.55 ,2056356618.00 ,2080023525.00 ,2080023525.21 ,3550924481.00 ,2444916166.40 ,3013493102.00 ,4038368717.00 ,3523602969.00 ,3483279791.00 ,4003688799.00 ,35252279275.17 
ADAMAWA,2494352819.55 ,2223018469.39 ,2019457373.00 ,2019720058.00 ,2019720057.63 ,3535546645.00 ,2600970357.66 ,2875535998.00 ,4020934819.00 ,3435339399.00 ,3293101431.00 ,3779896818.00 ,34317594245.23 
AKWA IBOM,10745898891.41 ,8556683831.80 ,8268425533.00 ,6567421599.00 ,6567421599.39 ,9161091074.00 ,2625140970.78 ,9969807453.00 ,12947920492.00 ,12933870221.00 ,13168151632.00 ,13733277993.00 ,115245111290.38 
ANAMBRA,2690356311.44 ,2518002235.24 ,2061410835.00 ,2078478601.00 ,2078478600.56 ,3828318933.00 ,2596097745.90 ,3190071779.00 ,4333758310.00 ,3742966220.00 ,3695363480.00 ,4063313919.00 ,36876616970.14 
BAUCHI,2884952961.18 ,2557036752.83 ,2152357218.00 ,2048627046.00 ,2048627045.69 ,4009274772.00 ,3123192567.80 ,2952271003.00 ,4349048789.00 ,3799796780.00 ,3617733675.00 ,4186201672.00 ,37729120282.50 
BAYELSA,4300379126.13 ,2984326465.67 ,2423305895.00 ,3396503658.00 ,3396503657.77 ,4982419069.00 ,2310274788.13 ,8228047031.00 ,10887663191.00 ,10094050129.00 ,9939722970.00 ,10541675313.00 ,73484871293.70 
BENUE,2409382951.56 ,2102936076.36 ,1719445807.00 ,1742146488.00 ,1742146487.90 ,3886383521.00 ,2928194928.07 ,3041992289.00 ,4281701557.00 ,3714985506.00 ,3537914247.00 ,4072333064.00 ,35179562922.89 
BORNO,3220503230.43 ,2871125693.09 ,2411065267.00 ,2421938137.00 ,2421938137.17 ,4260040745.00 ,3244020328.93 ,3564697802.00 ,4950479727.00 ,4274589794.00 ,4070982304.00 ,4670070125.00 ,42381451290.62 
CROSS RIVER,1274462212.67 ,1069590720.20 ,1229935916.00 ,1184277247.00 ,1184277246.70 ,2651679468.00 ,2625588665.91 ,1715657663.00 ,2847879223.00 ,2298656583.00 ,2131532994.00 ,2607849656.00 ,22821387595.48 
DELTA,7300815558.15 ,6062162133.16 ,6427119917.00 ,4207767748.00 ,4207767748.35 ,5111005545.00 ,2651111933.06 ,8051534332.00 ,14226599703.00 ,12811119492.00 ,12098181524.00 ,14099558598.00 ,97254744231.72 
EBONYI,2320161030.71 ,2167149723.56 ,1781166479.00 ,1789976921.00 ,1789976921.27 ,3407441406.00 ,2335925953.74 ,2757593844.00 ,3758333489.00 ,3291027131.00 ,2981065469.00 ,3384580921.00 ,31764399289.28 
EDO,2437040866.88 ,2094670366.40 ,1881756136.00 ,1670414676.00 ,1670414676.42 ,2970290399.00 ,2441416999.14 ,2737982071.00 ,4502140377.00 ,3958290570.00 ,3971197402.00 ,4594464071.00 ,34930078610.84 
EKITI,1663173329.59 ,1376976264.34 ,1187089417.00 ,1266814083.00 ,1266814083.38 ,2422761386.00 ,2334607804.34 ,1904985901.00 ,2946371403.00 ,2456539962.00 ,2289214147.00 ,2758788340.00 ,23874136120.65 
ENUGU,2645686058.47 ,2372200276.15 ,2185882457.00 ,2049778479.00 ,2049778478.72 ,3722910612.00 ,2625815271.94 ,2906690465.00 ,4076011258.00 ,3448299265.00 ,3341234535.00 ,3771385334.00 ,35195672490.28 
GOMBE,1764286475.39 ,1595251558.89 ,1258255523.00 ,1292586663.00 ,1292586663.46 ,2886457312.00 ,2459364384.64 ,2400488878.00 ,3398240469.00 ,2896648755.00 ,2783190810.00 ,3204154390.00 ,27231511882.38 
IMO,2688004179.20 ,2299871068.62 ,2337794558.00 ,2267804912.00 ,2267804912.43 ,3754244529.00 ,2714706394.99 ,2902786476.00 ,3964241016.00 ,3527484021.00 ,3352045086.00 ,3935054297.00 ,36011841450.24 
JIGAWA,2989355106.26 ,2776529371.32 ,2271365972.00 ,2273617522.00 ,2273617521.67 ,4252515503.00 ,2919918555.41 ,3545912352.00 ,4670030134.00 ,4009762968.00 ,3868179343.00 ,4468112953.00 ,40318917301.66 
KADUNA,3223115852.69 ,2858012009.93 ,2641197260.00 ,2577880086.00 ,2577880085.54 ,4795670711.00 ,3421024204.68 ,3928638893.00 ,5436980597.00 ,4705968745.00 ,4478011703.00 ,5076068851.00 ,45720448998.84 
KANO,4274675082.83 ,3863834809.34 ,3423584935.00 ,3338542497.00 ,3338542496.80 ,5950312483.00 ,4141530661.97 ,5054609380.00 ,6837569461.00 ,5971948934.00 ,5468389100.00 ,6160765710.00 ,57824305550.94 
KATSINA,3329693873.25 ,2999916961.77 ,2454521277.00 ,2455410821.00 ,2455410820.84 ,4490901629.00 ,3209568395.26 ,3690143270.00 ,4662990097.00 ,4043939027.00 ,3810699741.00 ,4370941163.00 ,41974137076.12 
KEBBI,2657944877.96 ,2455047864.22 ,1995523532.00 ,1989943758.00 ,1989943758.49 ,3785972266.00 ,2757035264.22 ,3110977674.00 ,4261607377.00 ,3679861274.00 ,3522800781.00 ,4043751048.00 ,36250409474.89 
KOGI,2812746011.57 ,2505602175.10 ,2033451861.00 ,1926765740.00 ,1926765740.03 ,3885067946.00 ,2885783599.15 ,3050175863.00 ,4247940959.00 ,3621816484.00 ,3475518850.00 ,3894231913.00 ,36265867141.85 
KWARA,2055320700.54 ,1815013883.77 ,1768299985.00 ,1768559784.00 ,1768559784.03 ,3070451939.00 ,2324199220.49 ,2539578772.00 ,3533295947.00 ,3036694965.00 ,2906079254.00 ,3316266828.00 ,29902321062.83 
LAGOS,6410654981.51 ,6612898271.75 ,5464418812.00 ,5553985606.00 ,5553985605.97 ,8297557904.00 ,3497791317.22 ,6721124057.00 ,8772817898.00 ,7683983752.00 ,9124292686.00 ,9266781235.00 ,82960292126.45 
NASSARAWA,2425612769.02 ,2169171504.92 ,1618430701.00 ,1728621058.00 ,1728621058.39 ,3313800989.00 ,2407875386.57 ,2683981082.00 ,3744160217.00 ,3211597394.00 ,3098318655.00 ,3521291109.00 ,31651481923.90 
NIGER,2704607931.73 ,2372642119.22 ,1814708994.00 ,1833528180.00 ,1833528179.58 ,3828249485.00 ,3092808725.76 ,3294066140.00 ,4610686028.00 ,3715364496.00 ,3637940119.00 ,4215915732.00 ,36954046130.29 
OGUN,1428851362.72 ,1182507594.79 ,1907356027.00 ,1943095038.00 ,1943095038.13 ,2807555051.00 ,2425758681.31 ,2000486465.00 ,3040046943.00 ,2488007115.00 ,2343439736.00 ,2792498421.00 ,26302697472.95 
ONDO,2829127895.43 ,2348808925.86 ,1783181035.00 ,1722615372.00 ,1722615371.63 ,3478230755.00 ,2430564380.93 ,3496773612.00 ,4646226261.00 ,4017485862.00 ,3940444869.00 ,4413072039.00 ,36829146378.85 
OSUN,255213047.40 ,6229795.23 ,999670992.10 ,915709673.70 ,915709673.74 ,1232855435.00 ,2381289703.05 ,650616017.00 ,1674709216.00 ,1170227641.00 ,1040295321.00 ,1470474014.00 ,12713000529.22 
OYO,2852719851.68 ,2564137783.14 ,2157102117.00 ,2248513167.00 ,2248513167.33 ,4134311861.00 ,2928518458.74 ,3580449190.00 ,4816630616.00 ,4220263977.00 ,3791720893.00 ,4309892246.00 ,39852773327.89 
PLATEAU,1818968743.81 ,1533946411.02 ,1400156926.00 ,1332264324.00 ,1332264324.23 ,2831526197.00 ,2726547191.16 ,2205228123.00 ,3382366399.00 ,2813269854.00 ,2674443163.00 ,3157238018.00 ,27208219674.22 
RIVERS,6684960511.51 ,5426952236.83 ,4076998954.00 ,4061175373.00 ,4061175372.91 ,6826140006.00 ,2815878083.67 ,9754785762.00 ,12458897618.00 ,11242523489.00 ,10711878349.00 ,11354564916.00 ,89475930671.92 
SOKOTO,2979978081.18 ,2675081791.50 ,2113959805.00 ,2190888327.00 ,2190888327.48 ,4080801421.00 ,2877571768.44 ,3224532313.00 ,4155213260.00 ,3546189992.00 ,3375459353.00 ,3912078455.00 ,37322642894.60 
TARABA,2281829830.07 ,2108956563.19 ,1894629904.00 ,1901217794.00 ,1901217794.46 ,3367234799.00 ,2515117953.20 ,2575572191.00 ,3632309660.00 ,3215236972.00 ,3075453901.00 ,3518507683.00 ,31987285044.92 
YOBE,2553162279.07 ,2364557968.72 ,1935007611.00 ,1959063968.00 ,1959063967.71 ,3679781132.00 ,2592763745.34 ,3047702060.00 ,4155194338.00 ,3617854168.00 ,3480703498.00 ,3916369806.00 ,35261224541.84 
ZAMFARA,1894352306.03 ,1622777644.73 ,1536307219.00 ,1529897075.00 ,1529897074.59 ,2947469091.00 ,2598285575.05 ,2197630962.00 ,3053330692.00 ,2506665609.00 ,2356276989.00 ,2831197771.00 ,26604088008.40 
